,Building Information,,,,,,,,Events Information,,,,,Ordinate  Intensity Measures,,,,,,Spectral Intensity Measures ,,,,,,Building Response,,,,Building Frequency ,,Average spectral values,,,Duration of Strong Motion,,,,,,,,,,,,,,,
Network,Building ID,B_Lat.,B_Long.,Soil info.,Vs30,Height,No. of story,Typology,Event Date,E_Lat.,E_Long.,Magnitude,Epicentral distance (R),PGA,PGV,PGD,AI,DP,CAV,SA1,SV1,SD1,SA2,SV2,SD2,Drift,PTA,PTV,PTD,F1,F2,Avg_Sa,Avg_Sv,Avg_Sd,Effective,Bracketed 1 [0.05g],Uniform [0.05g],Bracketed [0.1g],Uniform [0.1g],Bracketed [0.15g],Uniform [0.15g],Bracketed [0.2g],Uniform [0.2g],Significant_a1 [(5-75)%],Significant_a2 [(5-95)%],Significant_v1 [(5-75)%],Significant_v2 [(5-95)%],Significant_d1 [(5-75)%],Significant_d2 [(5-95)%],ZX
,,[degree],[degree],Unnamed: 4_level_2,[m/s2],[cm],Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,[degree],[degree],[Mw],[km],[cm/s2],[cm/s],[cm],[cm/s],[cm*s],[cm/s],[cm/s2],[cm/s],[cm],[cm/s2],[cm/s],[cm],[cm/cm],[cm/s2],[cm/s],[cm],Hz,Hz,[cm/s2],[cm/s],[cm],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec]
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200508241915_ANX_BFE_180_1',38.4433,143.085,6.3,370.1,1.11270291047149,0.192983628846725,0.0577591826286588,0.00959762822931686,0.000910741247116467,20.7822912819334,3.01042026050308,0.296536473517638,0.0348446990228432,4.53252376771875,0.543761106155803,0.0707598641491942,-0.203656512658635,4.06920374474242,0.480875804569888,0.0873277986274153,1.47732754462132,1.26122090048328,3.65632610046216,0.406278348527452,0.0500647675102993,0,0,0,0,0,0,0,0,0,50.3,89.11,48.6,90.58,43.67,87.67,27.4234349134055
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200509071323_ANX_BFE_180_1',36.09,139.895,4.1,16.8,1.91130400393354,0.0867346070249559,0.00899935162173125,0.00296040954976616,0.00000675173122271105,6.62525688936215,1.07218853220159,0.147661309514017,0.013392843158446,0.983759381630363,0.14519437905372,0.0129797084792781,-0.233617386816947,2.71639255780874,0.176475814274606,0.0184490247093935,1.417004048583,1.37159161198764,1.027262231935,0.146485303400947,0.0131833341388912,0,0,0,0,0,0,0,0,0,9.51,21.54,14.73,33.02,22.39,89.59,7.77484290862146
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200509091615_ANX_BFE_180_1',35.59,140.9467,5,99.1,1.00144357839212,0.116070619701392,0.0237279393933513,0.00544735311714135,0.000127171299263377,13.1556491637658,2.51104731913665,0.270696048721811,0.0343818086753442,2.78561178873081,0.298248726752645,0.0424691580143724,-0.21018870262045,3.73455846628298,0.383934016180267,0.0519581344141367,1.35,1.28242906773029,2.59295347977694,0.276548037329491,0.0375869859110249,0,0,0,0,0,0,0,0,0,22.51,50.68,24,65.3,24.95,75.9,11.2667047940438
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200509110506_ANX_BFE_180_1',37.0633,141.1733,4.5,142.7,0.807878689157672,0.0362433942188602,0.00418237542945559,0.00150482673923643,0.000000771555183754154,6.90892404528811,0.950667741349755,0.0853420386406384,0.00662796929539904,0.876184569916666,0.0995078334690707,0.0119887387643942,-0.241519695261086,1.44430725430725,0.108386479382937,0.0133384296381225,1.90349456144411,1.34952253746762,0.751436120290892,0.0778298644384403,0.00767832239295527,0,0,0,0,0,0,0,0,0,21.17,58.41,25.56,57.02,34.84,96.19,13.7234400182754
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200509202039_ANX_BFE_180_1',35.5983,140.1267,4.3,59.5,0.543056520993199,0.0404367592086872,0.00555915491685488,0.00169424931169475,0.00000124671065472889,8.16512073778877,1.21114405930539,0.113093464364706,0.0116355273963922,1.05690279647983,0.138314631472192,0.0148466013913009,-0.228865194791208,2.61773926793671,0.223136443214211,0.0229874245798249,1.61099265576878,1.3399758597111,1.16118887816092,0.129088021912275,0.0135725365851376,0,0,0,0,0,0,0,0,0,29.85,76.63,32.35,72.03,54.81,115.69,19.2019330191483
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200510161605_ANX_BFE_180_1',36.0383,139.9367,5.1,16.2,30.6754188616093,2.19258008267214,0.341801611093561,0.790192579852713,0.0080389013767921,103.774352523283,56.8454858897721,5.37820473404807,0.49307701578435,30.953216949491,4.24198369693417,0.467284173485127,0.378504012334234,57.5923348442645,5.97563004361905,0.644261705313579,1.70543502572132,1.28817218401311,42.5497246334028,4.85976991339679,0.485749770660516,0,16.48,7.13,3.44,3.37,2.76,1.255,0.575,0.305,7.89,20.9,15.14,23.56,16.16,26.65,7.827759624211
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200510192044_ANX_BFE_180_1',36.3817,141.0417,6.3,91.2,25.3560795567387,2.52734110280511,0.451795236260314,2.08963774676981,0.0679163357331412,236.199672871294,69.1010428923358,6.39577452200545,0.520376106846437,31.0877938819993,4.2749143338384,0.521834807448834,1.29213858178829,63.0625213212895,6.40152627783111,1.00984651007581,1.82285842093491,1.22430302540655,51.6668778988218,5.7711867961733,0.589937225087727,0,20.16,14.26,10.71,10.67,8.725,4.67,2.73,1.595,11.28,41.78,30.18,86.42,32.5,123.38,16.8188048100427
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200510222212_ANX_BFE_180_1',37.0783,141.12,5.6,140.7,3.31792989697713,0.225102357273425,0.0472906053363558,0.0517112288641838,0.000196343325165158,42.2907015688192,4.68186612389996,0.435867699663956,0.0557174008247241,4.34131913059371,0.571759929681841,0.0640427731278251,-0.0943893294072927,7.70195837073761,0.650047987020867,0.102627926354293,1.4543099387659,1.30126205841763,4.59184449502202,0.497599777351732,0.0609675009684742,0,0,0,0,0,0,0,0,0,24.71,58.75,40.82,103.38,42.51,112.71,21.3754258780601
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200510231908_ANX_BFE_180_1',37.3517,134.755,6.1,492.9,0.657755781450786,0.0511751949327825,0.0103217136113006,0.00222033830110736,0.00000619702822380979,11.5395075759225,0.737211011725901,0.078834288431654,0.00926029296968726,0.825746500595171,0.0944556903478915,0.0112687750241872,-0.237516237804881,1.57601392897623,0.149751788243485,0.0219242537272666,1.40128117135667,1.34681170419663,0.767254907857035,0.0871295018001009,0.0100684297665712,0,0,0,0,0,0,0,0,0,70.74,130.56,78.83,134.68,92.18,148.1,72.5387350494879
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200510282000_ANX_BFE_180_1',36.31,140.0183,3.7,20.4,0.557086378013017,0.0202319141209465,0.00379359486419277,0.000716997678178995,0.0000012787839963432,5.628978878187,0.671908123060652,0.0520838155811497,0.00366954048523224,0.233003563331556,0.0355529181355617,0.00308371402520226,-0.247814719419471,1.22376333938356,0.0501428198048144,0.00419160616656582,2.136490526197,1.36979354497967,0.366433597987391,0.0404014749454805,0.00302447042506313,0,0,0,0,0,0,0,0,0,42.47,112.77,32.77,116.93,126.22,127.72,25.9332592060303
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200511120602_ANX_BFE_180_1',36.4833,140.855,4.9,80.2,2.22022556794575,0.148847493144964,0.0222647129440653,0.0109221714133287,0.0000541761686075943,13.0217923984346,3.19146307064236,0.308710459679258,0.023018540963559,1.02054935441472,0.162651750286881,0.0133054595178417,-0.227465884441325,5.08207079197945,0.304544939556408,0.0269841412874436,1.85560053981107,1.3682406825429,1.65312576424305,0.198294278012276,0.0154658292806718,0,0,0,0,0,0,0,0,0,8.84,22.97,12.12,31.53,14.7,52.36,10.6111535613603
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200511150639_ANX_BFE_180_1',38.03,144.8883,7.1,476.3,5.41286691248822,0.595329088936225,0.161334119048726,0.170627164306731,0.00516445675494225,88.5441930632374,16.2945174685409,1.54907196597189,0.127220088061135,10.6127919392965,1.40757639330441,0.17366702367401,-0.0632731390681747,17.0402991803693,1.62249716630502,0.21574574706638,1.79937022042285,1.23625949719207,11.6166375329586,1.29946616421831,0.134231744273545,0,0,0,0,0,0,0,0,0,52.1,86.69,62.92,115.91,53.8,133.45,61.2855262731936
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200511160617_ANX_BFE_180_1',36.3083,140.065,4.8,19.7,2.43248918557675,0.132255147348943,0.0176227793023143,0.0165156050428347,0.000198474855839874,19.2587445729689,3.3337041569443,0.358195673453211,0.0318149922401115,2.70653530725486,0.419034048204399,0.0388879841112246,-0.192217444943302,5.68210714433603,0.591765842294169,0.0619922230869817,1.61943319838057,1.31298372839184,3.61480984974793,0.43192716304434,0.042773152486156,0,0,0,0,0,0,0,0,0,14.29,33.09,18.82,45.84,24.54,58.68,14.7046849915284
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200511171053_ANX_BFE_180_1',36.3017,141.065,4.7,90.9,1.23887937531944,0.0713654651181473,0.00937270696448165,0.00669620666343272,0.0000256535645812402,13.0796867596344,1.84648954809362,0.178051297468568,0.011982352207452,1.61127241847744,0.196480456190374,0.0231893230457945,-0.212797447381887,2.76888378655189,0.274388935573108,0.0285259541590994,1.94587340639678,1.31886068163496,1.72688642906282,0.17376537468299,0.0176792547115431,0,0,0,0,0,0,0,0,0,15.84,38.08,26.47,58.58,33.38,78.11,16.5593842368177
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200511211932_ANX_BFE_180_1',36.0533,139.9417,3.3,14.8,1.22377809768954,0.0495098423306289,0.00399220369970435,0.00105101020830027,0.000000395125214922568,5.42362296912368,0.416937768134904,0.0744021037798968,0.00521994263247588,0.416754610060292,0.0733743691520106,0.00548686804943253,-0.24499245305983,1.69426804832527,0.0765440657257711,0.00674361570824726,1.41749595001157,1.37930516449998,0.418110387480423,0.0738661122592727,0.00536697168859331,0,0,0,0,0,0,0,0,0,8.42,83.14,8.45,44.01,120.72,124.58,13.6763070745195
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200512022154_ANX_BFE_180_1',36.1333,139.85,4.2,20,3.64615397378288,0.0981075831367271,0.00872364202068865,0.0116043485439966,0.0000462197333939749,12.3925226383307,1.34768009329476,0.195174180289043,0.0107330287165333,1.28505849842534,0.154344393682834,0.0170620100099126,-0.229333090185571,6.06050490021258,0.219570792013668,0.0222428149396364,1.75438596491228,1.3742109057775,1.39616698393776,0.179737723229021,0.0146814653956806,0,0,0,0,0,0,0,0,0,7.7,19.19,16.95,37.15,21.57,80.59,7.13455998375236
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200512022213_ANX_BFE_180_1',38.0717,142.3533,6.6,295.6,3.7099174602513,0.724823144130122,0.178244541251135,0.107237028988852,0.0171931746025033,71.3843603712331,8.99186032702904,0.92771118394598,0.133698059113586,11.2530634729791,2.21030440887687,0.441041005207758,-0.065828694894455,12.9647432223147,1.68276517769923,0.265029690396821,1.3,0.799880396542228,10.8248926387117,1.63449801887666,0.286998594137795,0,0,0,0,0,0,0,0,0,40.68,87.36,45.18,106.82,54.96,125.27,33.1989324740412
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200512050720_ANX_BFE_180_1',37.8667,142.655,5.5,299.6,1.53585351103388,0.184418809608869,0.0254893631827385,0.0161029506525141,0.00100047037311361,25.3313222518653,3.71988411361508,0.412351538725874,0.0455791260273953,3.00617079919105,0.365116160048684,0.0433340160991684,-0.199335004855474,4.29524573512112,0.50588601097133,0.0686744119021495,1.42585551330798,1.32078280530043,3.54877167369463,0.393842549080943,0.047102216623438,0,0,0,0,0,0,0,0,0,36.52,64.01,39.2,74.86,43.37,85.3,20.4434353063276
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200512170332_ANX_BFE_180_1',38.4483,142.18,6.1,317.9,3.00444175112822,0.449111473423839,0.0673035302083894,0.0846895406220118,0.00756649579970566,59.6520638626817,9.78177437359923,0.780398131572965,0.065919341546383,12.6527315412985,1.56025567867118,0.207977458671006,0.113619350677251,16.7838172650812,2.01888609779856,0.279401385882837,1.92435301924353,1.24178795281723,10.5895252425316,1.06943127531323,0.122775385087325,0,0,0,0,0,0,0,0,0,31.39,70.55,31.69,85.82,57.49,121.4,23.1079236143687
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200512190740_ANX_BFE_180_1',36.1967,140.0967,3.4,7.6,1.40778018571431,0.0316122267897777,0.00249709194200234,0.000538408545689164,0.000000732116211472486,2.42514439317257,0.391478409562658,0.0408558359113571,0.00297242667914414,0.233478632508805,0.0354039204910113,0.00318000906420718,-0.248254524151532,1.90071373915401,0.0527095795562176,0.00412470541142833,1.78072625698324,1.33485691877715,0.297921324897364,0.0369344756931017,0.00302497333976665,0,0,0,0,0,0,0,0,0,8.41,18.83,14.97,76.66,94.78,113.95,4.06200900840172
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200512281846_ANX_BFE_180_1',36.1817,140.0267,4.8,7,5.67321337968562,0.307043272745007,0.0497045587489796,0.0544796783096322,0.00033112870374453,32.9678381815277,7.52701157776521,0.711448028527423,0.0651074407389875,6.5729535714858,0.816929157475982,0.0998826950194929,-0.147859017054059,19.6896202982962,0.834603494142895,0.101575517111694,1.68866025497652,1.28596124036479,6.42849684678822,0.691973429133172,0.075162268210448,0,0,0,0,0,0,0,0,0,15.68,32.36,18.11,42.09,18.19,53.67,9.82315546595073
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200512282211_ANX_BFE_180_1',36.1883,140.0217,3.4,7.9,0.502254866330031,0.0130876227851334,0.00118956840429562,0.000254015115579821,0.000000270647200770475,1.88269542212229,0.151890379217592,0.0204360446156945,0.00128160428648605,0.0906799147824863,0.0175802633479501,0.00112851800786204,-0.249283995603154,1.73587866934468,0.0233149541259237,0.00219103366135526,1.70377867746289,1.39098493391475,0.113731815860994,0.0187865584342837,0.00115467825617849,0,0,0,0,0,0,0,0,0,10.2,21.21,18.79,92.27,100.32,121.06,6.48243525326007
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200512282235_ANX_BFE_180_1',35.665,140.1883,4.1,52.9,0.613649118700955,0.0271629501987257,0.00289190804332967,0.000732041101173345,0.00000306467809766066,4.06323811156094,0.831049605000483,0.0746607578110749,0.00580130096045646,0.449418351696907,0.0619049786676845,0.00610415246211983,-0.242165490637732,1.27521821660847,0.106830499111046,0.00998180715170667,1.88343994314144,1.35638059195722,0.52989851136829,0.0592755113347667,0.00522694370212008,0,0,0,0,0,0,0,0,0,15.26,37.53,25.11,57.15,50.42,92.28,8.20972249165197
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200512282303_ANX_BFE_180_1',35.6683,140.2033,4.4,52.9,0.873772132787114,0.061233217920076,0.00697159477437778,0.00320671021542094,0.0000348656159741986,8.85458980273555,2.68070184859713,0.22004370892046,0.0173800491265222,1.39963684660656,0.178535191535048,0.0196663990200022,-0.213916406799479,2.65465739396856,0.260382102951895,0.0298684760154277,1.954513148543,1.32753984704517,1.66009364611167,0.169310392447606,0.0160634569612405,0,0,0,0,0,0,0,0,0,18.3,41.38,24.33,53.74,29.64,91.21,9.92170281224306
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200512312332_ANX_BFE_180_1',35.9267,140.135,4.1,23.5,0.922346019585417,0.0551457462741016,0.00730434911596582,0.00252815250017051,0.0000137931873879396,6.74115225641933,1.81666987218659,0.193794727566509,0.0152110069482805,1.59001244113661,0.209545035153361,0.0210732747064759,-0.217593921689758,2.84980512321285,0.22920655166213,0.0260566127321208,1.72253258845438,1.36430278602372,1.63060572110942,0.181690741900423,0.0174347508800887,0,0,0,0,0,0,0,0,0,12.21,25.55,17.43,40.02,20.71,79.07,7.13325256783428
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200601141530_ANX_BFE_180_1',36.1867,140.0267,4.3,7.3,7.2091491531262,0.277977943917588,0.0220605632152112,0.0403399282950463,0.000264660282269117,22.185128778671,3.98615879674767,0.429448310263168,0.0332504132077714,2.49655582583439,0.344020955110174,0.0354466801952596,-0.204688028340206,11.189143739565,0.459518716360931,0.0388492638333547,1.73757566336422,1.30760317234117,2.81341580558829,0.388080097861156,0.0306860153019856,0,0.00999999999999801,0,0,0,0,0,0,0,7.02,18.32,10.17,27.38,17.83,60.8,6.89736717070487
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200601160753_ANX_BFE_180_1',36.5433,140.91,4,87.8,0.692105969980718,0.0216250421811901,0.00181932942529816,0.000825242883771569,0.00000206612234561339,4.12897926204338,0.552276692389647,0.0551421874980801,0.00380069833236652,0.201090467399862,0.0283749355511373,0.00251420964064345,-0.247357987772309,1.43082598196607,0.0631408171151095,0.00543182523923343,1.89466158245949,1.40948612065064,0.279533580108745,0.0375211869004057,0.00254806010389134,0,0,0,0,0,0,0,0,0,16.24,34.62,18.46,48.07,61.2,108.99,6.32365413947262
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200601182325_ANX_BFE_180_1',37.7983,142.2,5.7,264.6,1.68638913291351,0.150957780395321,0.029966816200833,0.0153412469736677,0.000964630209669473,25.7729463481504,2.844359338387,0.255418811009858,0.0214772666796224,3.00258314270738,0.372769443970422,0.0422931145994038,-0.145239080188373,4.22473909573246,0.500464734559878,0.0718453643519113,1.82706222865412,1.32550582947861,2.81731948048976,0.293633298911805,0.0300987796322258,0,0,0,0,0,0,0,0,0,41.07,71.63,47.16,95.04,50.2,101.22,24.3541090359495
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200601212330_ANX_BFE_180_1',36.42,140.7983,3.9,72.5,0.529463683292572,0.0184494808961842,0.0017125212285624,0.0003247597108551,0.000000525202761051956,2.27115194549653,0.272724609775545,0.0357709546535633,0.00303822802583011,0.270485367318269,0.0357149018961029,0.00349803722233936,-0.248603399957123,0.839629688136753,0.0438029126051823,0.00388662082034333,1.50242879618796,1.38626789828565,0.272425606760478,0.0356040670455459,0.00327327978494884,0,0,0,0,0,0,0,0,0,7.91,20.54,14.69,66.4,100.19,113.39,5.3637203802042
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200601220101_ANX_BFE_180_1',35.995,140.2267,3.5,20.5,1.1255271690459,0.0540924621890197,0.00408083157165327,0.00123061350789395,0.00000210732379310027,3.64488480053943,0.524645371918105,0.0917948751027073,0.00597563605506233,0.56840364806592,0.0845705837846965,0.00761737385805764,-0.243143154875913,1.98450723826822,0.0881400622409716,0.00808117939463888,1.46111366774045,1.35823694314783,0.570872677526725,0.0895266303529347,0.00709297174438863,0,0,0,0,0,0,0,0,0,5.62,16.47,10.03,22.81,48.63,114.66,4.25351495044446
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200602012035_ANX_BFE_180_1',35.76,140.0033,5.1,41.9,5.24206732633167,0.300156816583803,0.0513003523928854,0.0761312285000826,0.000267390504700036,41.8543475723424,7.5640940274874,0.941034005883571,0.0847585548430776,5.00179793611193,0.733554471814878,0.0677241544355066,-0.135327112241772,10.2820827891783,1.02518657310426,0.103496136566025,1.50365901434965,1.35104438889656,6.35443828438651,0.841841068690036,0.0779282336413289,0,0,0,0,0,0,0,0,0,16.28,36.47,17.99,48.32,16.95,73.19,15.1505536203632
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200602031337_ANX_BFE_180_1',36.2133,141.61,5.9,138.2,4.37567129003894,0.699423704715103,0.182373383549243,0.132866132349139,0.000695969126325276,85.3869473638675,13.4900694613439,0.986009931297458,0.0839892133268784,14.3050765766522,1.74910999739762,0.246918457850513,0.229121299628019,12.5236573489354,1.8357229197347,0.273602025081059,2.00179937022042,1.19785466279638,10.845834295787,1.05488556355122,0.126785503628715,0,0,0,0,0,0,0,0,0,33.74,126.18,26.71,122.62,22.21,124.58,63.1522462333436
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200602031438_ANX_BFE_180_1',36.2117,141.6017,4.9,137.5,1.72624766447759,0.10631885962203,0.0168914407943397,0.00927631969846888,0.0000259599506989848,16.321208564546,2.93649785078235,0.248082944635894,0.0221517632578581,1.99536672564892,0.274961182907251,0.0311113706189299,-0.171517965891799,4.398564097948,0.500459991840385,0.0600596286665436,1.82146182495345,1.2657123267682,2.55416978629434,0.261989345969631,0.0284563624265102,0,0,0,0,0,0,0,0,0,20.18,43.98,27.42,57.54,26.49,74.82,11.3708240091419
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200602031441_ANX_BFE_180_1',36.22,141.58,5,135.6,2.04078688512338,0.144378210022001,0.0262287339743609,0.0154764888706569,0.0000508090077284735,21.4699011174943,4.38784359837799,0.355823164830809,0.0319591616404262,4.54603486208112,0.540299966935675,0.0727534346995049,-0.16407634118388,5.20367763012569,0.520088157982168,0.0577624764063255,1.8389199255121,1.25691312366156,4.00988942836856,0.42101117250178,0.0460206577895627,0,0,0,0,0,0,0,0,0,23.99,43.83,26.31,51.37,24.79,66.31,12.2384570290876
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200602031510_ANX_BFE_180_1',36.2283,141.6117,5.3,138.5,1.5811851815044,0.190876423034577,0.042176359212667,0.0159093657795551,0.0000953040468189288,23.4572313714182,3.36450917026923,0.291962380227759,0.0244698836010192,3.98772235058822,0.458143683998057,0.0561247109537011,-0.128887332410512,5.49901908126804,0.535399536604308,0.0751053744497242,1.86927158707188,1.3312770547281,3.49525724437316,0.343173547291314,0.0372860362241224,0,0,0,0,0,0,0,0,0,26.47,51.87,28.22,64.13,24.63,72.91,19.8528805970204
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200602062026_ANX_BFE_180_1',36.0183,140.3883,4.2,31,1.47113629383171,0.0995181067892702,0.0123965387322121,0.00520508598524448,0.0000240086728583528,10.1617246673676,3.58844951477586,0.316175786063711,0.0250712484687283,1.9025004947394,0.253212585090887,0.0252837316712133,-0.221871000324775,3.64104384070922,0.280705175481947,0.0328497649173472,1.88480449543432,1.37861876518559,2.71192178566382,0.285970008236684,0.0262031470696344,0,0,0,0,0,0,0,0,0,13.5,30.09,16.11,38.67,16.24,51.49,7.2236734725324
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200602142246_ANX_BFE_180_1',36.1817,140.0533,3.6,5.8,0.725872473815654,0.0186609037742647,0.00144993161827183,0.000474858040045947,0.000000110887088279876,3.89089693520031,0.234811849007922,0.028883994750718,0.00279624083283075,0.233957826634003,0.0295464309202916,0.00311365788035541,-0.248628503954737,2.17632395900956,0.0413962344264484,0.00366938012262769,1.44263028405278,1.37786850614388,0.23865915142691,0.0292911684882122,0.00300759960201298,0,0,0,0,0,0,0,0,0,16.02,91.81,17.32,50.68,65.55,115.52,18.2402963882384
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200602171721_ANX_BFE_180_1',36.6483,141.2833,4.2,122.6,0.668353461377064,0.0375127897361991,0.00242875917408538,0.000969428216760262,0.00000039804136576655,5.27028077749372,0.917973104725341,0.0807982137551972,0.00665734351053586,0.835939331483795,0.10316788648122,0.0114144872540643,-0.236392175329929,1.40523241253474,0.111249550851112,0.0131481353678169,1.86533212010919,1.35968296945889,0.878925125531667,0.0951107998704599,0.00924222855718419,0,0,0,0,0,0,0,0,0,16.04,53.93,18.77,46.27,49.07,114.15,10.7895289639959
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200602181009_ANX_BFE_180_1',36.0917,140.02,3.5,6.6,0.494350172238641,0.0189440894400366,0.00268352790802629,0.000544989085998871,0.000000165972395367908,4.72841978864341,0.448842231641134,0.0422068151668952,0.00276601015799353,0.148981204554682,0.0264837607522839,0.00209961858790813,-0.248032078662625,2.60583722969021,0.0466719153748188,0.00354357254420312,2.00178930887945,1.31372122532192,0.220980636761001,0.0318273872828988,0.00201256643230895,0,0,0,0,0,0,0,0,0,27.68,106.34,16.53,112.63,109.39,111.04,26.9671818097253
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200602221337_ANX_BFE_180_1',35.605,140.1,4.1,58.7,0.785042864416808,0.0380330298192192,0.00460309207745164,0.00134791856516773,0.000000616833204492114,6.40652985776679,1.30639321954509,0.110044701198487,0.00814095656550333,1.17280578925191,0.141276374952562,0.0164580025797848,-0.237240984457109,1.79802942301218,0.154891986530524,0.0149876287016006,2.00189528547738,1.33653463082939,1.18999918988486,0.119651746425578,0.0115808753529863,0,0,0,0,0,0,0,0,0,15.89,60.56,20.83,50.61,50.32,118.79,12.3262469654685
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200603050338_ANX_BFE_180_1',33.7717,137.605,5.3,345.7,0.980930476416058,0.0643561590003692,0.00774034265696397,0.00366236345547273,0.0000503558399205685,9.33733937170461,2.03254187502721,0.232958211416021,0.0240979970455605,2.05913487792796,0.269824805945295,0.0296531962696739,-0.212703004228003,3.53599480264828,0.363681109534201,0.0378338493448901,1.45018198362147,1.31008553160164,2.21035003181905,0.273457179997715,0.0290121614009982,0,0,0,0,0,0,0,0,0,16.04,38.82,19.92,51.16,31.05,76.14,8.68525450538
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200603101755_ANX_BFE_180_1',36.7267,141.1783,4.5,118.9,0.883005448439279,0.0503331608491056,0.00748017443241816,0.00313559386731452,0.00000245053940715245,9.49675406211358,1.01140564656603,0.100491760890008,0.0090449628791691,0.868531710334673,0.112250483523534,0.0112920635749147,-0.226652471128893,1.97284532370354,0.168149166624752,0.0173109566215082,1.6702846116739,1.38352635735473,0.957870593668092,0.104074522771362,0.0103407537772251,0,0,0,0,0,0,0,0,0,14.8,54.35,16.88,48.48,25.27,87.76,12.480489521495
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200603131241_ANX_BFE_180_1',36.235,140.0983,4.1,11.6,4.34747125607805,0.17735824745971,0.012863649246576,0.0131393745821765,0.00000585070791629238,12.4572004501096,1.2609989207007,0.264818837014924,0.0148638977332433,1.17661099371186,0.252574201202071,0.0149587014553301,-0.228852351747348,5.88135538695811,0.300394618755789,0.0215389928448779,1.43387314439946,1.36975135268413,1.21832464089221,0.258698885300622,0.0149066361911692,0,0,0,0,0,0,0,0,0,4.22,17.18,10.51,29.13,23.96,83.94,6.92846830450575
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'200603131306_ANX_BFE_180_1',36.055,141.765,5.1,152.2,0.706758337293417,0.069398823905277,0.0202404823895849,0.00327755658859901,0.00000939426666079875,10.6370647818405,2.32630378653542,0.1968146860678,0.0156912074767621,1.49156415085203,0.192620286411046,0.0197982276648522,-0.226288202782129,2.64843140278801,0.253223772683214,0.0379509730708673,1.9184938036225,1.36343512582408,1.8447639352116,0.189411953225938,0.0174690738921355,0,0,0,0,0,0,0,0,0,27.7,54.48,32.63,66.37,32.76,64.01,13.1256669190514
