,Building Information,,,,,,,,Events Information,,,,,Ordinate  Intensity Measures,,,,,,Spectral Intensity Measures ,,,,,,Building Response,,,,Building Frequency ,,Average spectral values,,,Duration of Strong Motion,,,,,,,,,,,,,,,
Network,Building ID,B_Lat.,B_Long.,Soil info.,Vs30,Height,No. of story,Typology,Event Date,E_Lat.,E_Long.,Magnitude,Epicentral distance (R),PGA,PGV,PGD,AI,DP,CAV,SA1,SV1,SD1,SA2,SV2,SD2,Drift,PTA,PTV,PTD,F1,F2,Avg_Sa,Avg_Sv,Avg_Sd,Effective,Bracketed 1 [0.05g],Uniform [0.05g],Bracketed [0.1g],Uniform [0.1g],Bracketed [0.15g],Uniform [0.15g],Bracketed [0.2g],Uniform [0.2g],Significant_a1 [(5-75)%],Significant_a2 [(5-95)%],Significant_v1 [(5-75)%],Significant_v2 [(5-95)%],Significant_d1 [(5-75)%],Significant_d2 [(5-95)%],ZX
,,[degree],[degree],Unnamed: 4_level_2,[m/s2],[cm],Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,[degree],[degree],[Mw],[km],[cm/s2],[cm/s],[cm],[cm/s],[cm*s],[cm/s],[cm/s2],[cm/s],[cm],[cm/s2],[cm/s],[cm],[cm/cm],[cm/s2],[cm/s],[cm],Hz,Hz,[cm/s2],[cm/s],[cm],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec]
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199807052310_ANX_BFE_180_1',36.255,140.8133,3.6,67.8,1.22254592621708,0.0557818509220305,0.00410957857245331,0.00127122346290166,0.00000350753543610388,3.69616916883482,0.894984811706556,0.0917691433478424,0.00546244128785087,0.593978831115931,0.0827952682045435,0.00536997829189109,-0.245021400994845,2.14612561351297,0.111270714252236,0.00687510572717134,2.00188412623646,1.63892490184228,0.739614040029479,0.0850264570756823,0.00549262348135311,0,0,0,0,0,0,0,0,0,6.6,16.61,10.75,24.23,45.16,69.91,4.23513764145207
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199807061054_ANX_BFE_180_1',36.0983,139.8983,3.4,16.2,0.512708823622869,0.0229428582230242,0.00272323041289421,0.000242583991580389,0.000000531449297654352,1.93391106028126,0.516152661471698,0.0467294232144355,0.00343930544358774,0.365550072255495,0.0378601631001703,0.00326458198523877,-0.24502150606394,0.965495557261063,0.0561475729801744,0.00468989522161127,1.94028181614851,1.67660710786803,0.43631856701287,0.0410069327793031,0.00335439237148892,0,0,0,0,0,0,0,0,0,12.58,28.41,16.07,36.7,51.08,55.7,7.65689241386157
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199808032009_ANX_BFE_180_1',37.2067,139.9983,5.1,119.7,1.29747424503153,0.0858451115578495,0.0332713965933543,0.00557529218472934,0.000141791783682823,11.2708481342173,1.64245741072581,0.144501855180121,0.0110816066581761,1.98966406356073,0.196475055512461,0.0196807981255936,-0.237066715393354,3.04007241354867,0.220785018094538,0.0370941731959953,1.94163048721659,1.59554554384508,1.80273310453008,0.163327986426901,0.0149828858683829,0,0,0,0,0,0,0,0,0,16.18,44.24,40.81,57.13,40.77,59.47,9.83021928512243
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199808201540_ANX_BFE_180_1',28.8867,139.915,7.1,805.8,3.76150256655818,0.398752795184069,0.0821343529683039,0.0818850175721723,0.00662330627782658,51.8528558314669,8.35332324714399,0.765055132579242,0.0749905479263625,7.80590678317712,1.0150400054496,0.141175055820652,-0.171328697388201,12.0922967072895,1.09436249463289,0.134657245582954,1.67747707447998,1.17315657917907,9.83095851343153,1.11780201815547,0.128009003197123,0,0,0,0,0,0,0,0,0,27.63,64.7,38.25,77.4,52.1,88.43,17.7437279984843
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199808290846_ANX_BFE_180_1',35.6283,140.0317,5.2,56.1,4.51201775485515,0.337627295418421,0.0561593806839971,0.0924261445793777,0.00168458681043977,51.4881151471295,8.46783280470109,0.759620981726692,0.0568107318788963,5.0465292614435,0.862530750246085,0.116269943045698,-0.0672312388549998,16.4736400551865,1.15853509848279,0.119452032884644,1.92307692307692,1.03721289883394,6.33563852397614,0.757069329357393,0.084552977096549,0,0,0,0,0,0,0,0,0,19.21,55.26,35.48,80.57,44.24,86.56,17.8982252349349
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199809080940_ANX_BFE_180_1',35.9167,140.8533,4.3,74.1,0.954846623824038,0.0767524391338139,0.0108732581311877,0.0039169930933038,0.000055480717219956,8.6297176262436,3.11214922382612,0.242777337994447,0.0201282018187322,2.02233479945929,0.188380972827759,0.0175575453065894,-0.204578486209476,4.48127707907674,0.387095004742606,0.0348009422246507,1.94300518134715,1.69213501409626,2.7762608418058,0.239001254951601,0.0206970724754864,0,0,0,0,0,0,0,0,0,15.63,32.76,16.55,34.26,16.97,43.47,7.90690268966769
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199809151624_ANX_BFE_180_1',38.2783,140.7633,5.2,246.4,1.8887059624521,0.194989236835858,0.0265021112625116,0.0175374534883613,0.000956202210347405,19.9084322791117,5.36763818168165,0.413455626976996,0.0347650298744556,7.62451953571009,0.764857681158653,0.0830209931399567,-0.155820195449348,6.4862491828085,0.583467547684906,0.0652998167647766,1.96264817714158,1.51648771042498,6.22650744421675,0.543422920211394,0.0548984675552975,0,0,0,0,0,0,0,0,0,20.05,36.73,20.44,41.78,20.87,51.27,10.0630491122861
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199809170136_ANX_BFE_180_1',36.2217,140.655,4,53.2,1.27005944973424,0.0664790458871607,0.00499448086995483,0.00165753239062743,0.00000913761699529526,4.30691391591893,1.46235961219967,0.138743515014119,0.00902243749108588,0.929123044127585,0.130567523323757,0.00955298366053862,-0.235803348009624,2.26819289256314,0.138846395049941,0.0111394731146199,2.00188412623646,1.55465481554288,1.25434888716361,0.13088166603041,0.0099531079408787,0,0,0,0,0,0,0,0,0,6.23,19.87,16.86,32.74,19.69,49.34,4.39722121665768
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199809250659_ANX_BFE_180_1',37.51,141.375,4.7,192.1,1.72222149455154,0.0847508684342084,0.0112462834746468,0.0055919224984861,0.0000858520685504383,9.71437478196726,2.07875663659819,0.199012866330667,0.0150133469293818,1.3726023157131,0.159665084446551,0.0157800533814137,-0.231398789087566,4.5526440944458,0.238683946211429,0.0190773869623693,1.844,1.47574653721403,1.68267425714973,0.188798610655903,0.0152609007535643,0,0,0,0,0,0,0,0,0,11.79,28.4,17.77,45.93,22.29,64.29,6.29289215939937
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199810040200_ANX_BFE_180_1',36.7667,141.4583,4.5,142.6,1.37621297987818,0.0655214444729232,0.00612869908746386,0.0053649430262578,0.0000821661559497,10.1001803610252,1.58446596314585,0.159180368551859,0.0114639448228146,1.36457499812886,0.128312699753304,0.0122701777782552,-0.228865788533917,3.06715458189512,0.217183438273048,0.01656852545502,1.85640796242451,1.66497330610534,1.3665519790763,0.137424996170962,0.0110056522444049,0,0,0,0,0,0,0,0,0,12.81,34.35,24.17,47.39,60.36,65.83,7.9712325161251
